participant.id_in_session,participant._index_in_pages,participant.time_started_utc,player.q_gender,player.q_age,player.q_area,player.q_education,player.q_device,player.big5_1,player.big5_2,player.big5_3,player.big5_4,player.big5_5,player.big5_6,player.big5_7,player.big5_IMC,player.big5_8,player.big5_9,player.big5_10,player.inboron1,player.inboron2,player.inboron3,player.inboron4,player.inboron5,player.inboron6,player.inboron7,player.inboron8,player.inboron9,player.inboron10,player.inboron11,player.inboron12,player.inboronIMC,player.inboron13,player.inboron14,player.inboron15,player.inboron16,player.crt_bat,player.crt_widget,player.crt_lake,player.crt_DQS,player.crt_rank,category,DQS_1,DQS_2,DQS_3,Or_DQS,basic,gain_emphasis,loss_aversion,pre_commitment,using_llm
27,8,00:50:00,0,3,5,2,0,3,3,3,4,3,5,4,5,5,5,5,3,3,2,3,3,3,3,2,3,4,3,3,4,3,3,3,3,50,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
28,8,00:51:00,0,2,2,4,0,2,4,4,6,4,6,4,5,6,4,5,3,3,4,2,2,3,3,1,2,3,2,2,4,1,2,2,2,10,5,24,27,29,basic,0,0,0,0,1,0,0,0,0
29,8,00:51:00,0,6,2,4,0,4,4,4,3,4,4,5,5,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
30,8,00:51:00,1,3,7,3,0,5,2,5,4,5,4,5,5,4,4,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,10,100,24,27,30,basic,0,0,0,0,1,0,0,0,0
31,8,00:52:00,0,6,7,4,0,2,3,3,5,5,4,3,5,6,3,6,2,3,3,4,2,2,2,3,4,2,2,3,4,4,3,4,4,5,1,24,27,29,basic,0,0,0,0,1,0,0,0,0
32,8,00:52:00,1,4,3,2,2,2,2,5,4,2,6,6,5,2,6,4,2,4,4,4,4,3,3,4,4,4,3,4,4,4,2,4,4,10,100,47,27,29,basic,0,0,0,0,1,0,0,0,0
33,8,00:52:00,0,4,4,1,0,3,3,2,5,3,5,4,5,6,3,6,2,2,3,2,2,3,3,3,3,4,2,3,4,2,4,4,3,5,5,47,4,29,basic,0,0,1,1,1,0,0,0,0
34,8,00:53:00,1,4,3,3,0,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,10,100,24,27,30,basic,1,0,0,1,1,0,0,0,0
35,8,00:53:00,0,4,2,4,2,5,3,4,1,5,3,6,5,2,5,3,2,2,2,2,3,4,2,2,5,4,2,2,4,4,2,4,2,10,100,47,27,29,basic,0,0,0,0,1,0,0,0,0
36,8,00:53:00,0,3,2,2,2,1,2,1,5,4,7,4,5,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,10,5,24,27,30,basic,0,0,0,0,1,0,0,0,0
37,8,00:53:00,0,6,4,4,0,4,2,6,2,2,4,7,5,1,6,2,2,3,1,4,2,2,3,2,4,3,2,2,2,2,2,2,3,10,5,47,27,29,basic,0,1,0,1,1,0,0,0,0
38,8,00:53:00,0,5,7,2,0,2,4,6,4,4,5,6,5,3,6,4,1,2,2,3,2,2,2,3,3,3,2,2,4,2,1,2,3,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
40,8,00:54:00,0,5,4,4,0,3,2,5,4,1,5,5,5,3,5,7,2,3,2,4,2,2,4,1,3,4,3,4,4,2,4,4,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
41,8,00:54:00,0,3,4,4,0,3,3,5,6,2,5,4,5,3,5,6,2,1,3,1,1,1,1,2,2,2,2,1,4,3,2,3,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
43,8,00:55:00,0,2,4,4,2,5,3,4,5,4,4,5,5,3,4,4,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,5,20,6,3,5,basic,0,1,1,1,1,0,0,0,0
44,8,00:55:00,0,5,2,5,0,4,2,6,1,4,4,6,5,2,6,2,1,1,1,2,2,1,1,1,2,2,1,1,4,2,1,2,2,5,4,46,27,29,basic,0,0,0,0,1,0,0,0,0
45,8,00:56:00,1,2,3,4,0,1,7,1,7,1,1,1,5,7,1,1,3,3,1,3,3,4,4,1,3,5,5,4,4,3,4,5,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
46,8,00:56:00,1,3,4,1,0,1,1,6,7,5,6,5,5,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
47,8,00:56:00,1,5,4,3,2,2,3,3,5,4,4,4,5,3,3,3,2,3,2,2,2,2,2,2,3,3,2,2,4,2,2,3,2,10,100,47,9,29,basic,0,0,1,1,1,0,0,0,0
48,8,00:56:00,0,4,2,4,2,3,2,6,6,4,3,6,5,4,4,4,1,3,2,2,1,2,1,2,3,2,3,3,4,3,2,4,1,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
49,8,00:57:00,0,3,2,0,2,2,5,2,6,5,7,5,5,7,2,6,1,3,2,2,1,2,2,2,2,2,1,2,4,2,2,2,2,10,100,24,27,29,basic,0,0,0,0,1,0,0,0,0
51,8,00:58:00,0,4,4,1,2,1,5,1,7,2,7,2,5,3,2,6,2,2,4,2,2,1,1,4,1,1,1,1,4,5,1,5,5,10,5,24,27,30,basic,0,0,0,0,1,0,0,0,0
52,8,00:58:00,0,6,3,1,0,5,4,4,5,5,5,5,3,4,3,3,4,3,4,4,3,3,3,3,2,4,3,4,4,4,2,4,4,10,5,24,27,30,basic,1,0,0,1,1,0,0,0,0
54,8,00:59:00,0,4,2,5,0,1,7,2,7,4,1,4,5,7,1,1,5,5,2,5,5,2,5,2,5,5,5,4,4,3,5,5,5,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
55,8,00:59:00,0,4,7,1,0,3,5,3,5,4,4,5,5,4,3,4,3,4,1,4,3,3,3,1,4,5,4,4,4,3,5,5,5,5,5,47,4,29,basic,0,0,1,1,1,0,0,0,0
56,8,01:00:00,0,5,4,4,2,1,5,6,2,4,6,5,5,2,7,5,1,1,1,1,1,4,2,4,2,1,3,1,4,3,3,4,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
57,8,01:00:00,1,4,4,1,2,3,1,1,7,1,6,5,5,6,1,6,4,4,5,3,4,4,4,4,3,4,4,4,4,3,4,4,4,10,100,24,27,29,basic,0,0,0,0,1,0,0,0,0
58,8,01:01:00,1,2,7,4,0,3,3,4,4,3,5,4,5,4,4,5,1,3,3,2,2,2,1,2,3,3,2,2,4,3,2,3,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
59,8,01:01:00,0,3,2,1,0,3,5,4,5,5,4,3,5,5,3,4,3,4,4,4,4,4,4,3,3,3,5,4,4,3,3,4,5,10,100,96,27,29,basic,0,0,0,0,1,0,0,0,0
60,8,01:01:00,0,3,7,4,2,1,2,4,4,2,6,5,5,4,5,7,1,2,1,1,1,1,1,1,1,3,1,1,4,1,1,3,1,5,5,6,27,29,basic,0,0,0,0,1,0,0,0,0
61,8,01:02:00,0,4,2,4,2,7,1,7,1,1,1,7,5,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,10,100,24,27,29,basic,0,0,0,0,1,0,0,0,0
62,8,01:06:00,0,4,2,4,2,3,3,4,3,5,3,5,5,5,5,5,2,3,4,4,3,2,2,4,3,2,2,2,4,2,2,2,4,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
63,8,01:10:00,1,3,3,4,0,1,2,2,7,3,7,4,5,5,6,4,2,2,2,2,2,2,2,3,3,2,3,2,4,3,2,3,2,5,5,47,4,29,basic,0,0,1,1,1,0,0,0,0
64,8,01:10:00,0,2,2,1,2,4,4,4,6,5,4,4,5,5,4,6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,10,5,47,27,30,basic,0,0,0,0,1,0,0,0,0
65,8,01:11:00,1,2,2,4,2,2,3,3,7,4,5,4,5,6,3,6,2,4,2,3,3,4,2,3,3,3,2,3,4,3,3,2,2,10,100,24,27,30,basic,0,0,0,0,1,0,0,0,0
66,8,01:11:00,0,4,4,5,0,3,3,5,6,4,5,6,5,4,5,4,4,3,2,3,3,2,2,2,2,3,2,3,4,2,2,3,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
67,8,01:12:00,0,4,4,1,0,1,5,3,7,5,5,3,5,5,5,5,2,4,1,4,2,2,4,2,4,4,4,4,4,4,4,4,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
68,8,01:13:00,0,2,7,2,2,3,1,4,1,1,5,5,5,4,5,4,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,1,1,205,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
69,8,01:13:00,0,3,0,4,0,7,1,7,5,5,1,6,5,3,6,3,1,2,1,4,4,3,4,1,1,5,2,2,4,2,2,1,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
70,8,01:15:00,0,3,0,4,0,7,1,7,1,7,1,7,5,1,7,1,1,2,2,1,1,1,1,3,4,5,2,1,4,5,2,5,1,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
73,8,01:16:00,0,4,7,4,2,5,4,3,5,3,5,6,3,3,5,5,2,2,3,4,3,2,3,4,3,5,3,3,4,4,3,3,2,10,5,47,27,30,basic,1,0,0,1,1,0,0,0,0
74,8,01:17:00,1,2,2,1,2,1,1,3,5,1,6,6,5,1,4,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,3,10,100,24,27,30,basic,0,0,0,0,1,0,0,0,0
75,8,01:17:00,1,3,2,1,1,1,2,3,3,3,5,4,5,4,4,5,1,1,1,1,1,1,1,1,4,2,2,3,4,2,1,2,1,10,1,47,27,31,basic,0,0,0,0,1,0,0,0,0
76,8,01:18:00,0,5,4,4,0,2,3,3,5,4,6,4,5,5,3,7,1,1,1,1,1,1,1,1,3,3,1,1,4,1,1,2,2,5,5,47,2,30,basic,0,0,1,1,1,0,0,0,0
77,8,01:20:00,0,4,2,4,0,2,4,5,4,1,4,4,5,3,4,7,1,1,1,2,3,3,1,2,1,4,3,1,4,3,3,5,2,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
78,8,01:20:00,0,4,2,1,2,5,1,5,7,5,3,7,5,3,3,3,1,1,2,2,2,1,1,3,4,1,2,1,4,3,2,1,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
79,8,01:22:00,0,4,2,2,0,2,3,2,6,3,5,2,5,6,2,7,1,1,1,2,1,1,2,2,3,3,1,1,4,2,3,3,2,5,100,47,27,29,basic,0,0,0,0,1,0,0,0,0
80,8,01:23:00,0,4,0,4,2,2,3,3,6,4,5,5,5,6,5,6,1,1,2,2,2,1,1,2,4,3,3,2,4,3,2,4,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
81,8,01:24:00,0,4,2,2,2,4,4,4,4,4,4,4,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,100,24,27,30,basic,0,1,0,1,1,0,0,0,0
82,8,01:26:00,0,4,2,4,2,3,3,3,5,4,4,5,5,4,5,5,1,3,2,2,2,1,2,3,3,2,1,1,4,2,1,1,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
83,8,01:28:00,0,5,2,1,0,4,4,4,4,4,4,4,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
84,8,01:30:00,0,4,2,4,2,5,3,5,2,6,3,5,5,3,5,2,4,2,2,4,4,2,2,4,3,4,3,2,4,2,4,5,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
85,8,01:34:00,0,4,2,1,2,3,1,5,3,1,6,7,5,1,6,4,3,4,4,5,4,3,4,5,5,4,4,4,4,3,5,4,5,10,100,24,27,30,basic,0,0,0,0,1,0,0,0,0
86,8,01:32:00,0,3,7,2,2,1,4,4,5,3,7,5,5,4,4,7,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,10,100,48,27,30,basic,0,0,0,0,1,0,0,0,0
87,8,01:32:00,0,4,3,4,0,2,5,6,6,2,5,6,5,2,5,6,1,2,1,2,2,1,2,1,2,2,1,2,4,2,2,2,2,5,5,24,27,29,basic,0,0,0,0,1,0,0,0,0
88,8,01:36:00,1,4,2,1,2,6,3,4,5,5,1,5,5,5,4,3,2,2,3,1,3,1,2,3,3,3,2,2,4,3,2,3,1,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
89,8,01:36:00,1,5,3,2,2,2,2,3,6,4,5,5,5,5,3,5,1,1,1,1,1,1,1,2,1,1,1,1,4,2,1,1,1,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
90,8,01:38:00,0,3,2,4,0,3,3,5,3,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
91,8,01:42:00,1,6,5,1,2,4,2,4,5,3,4,5,5,4,4,4,2,3,2,2,2,2,2,2,3,3,1,3,4,2,2,3,2,10,100,24,27,30,basic,0,0,0,0,1,0,0,0,0
92,8,01:43:00,1,3,3,4,2,1,3,1,7,3,5,2,5,7,3,7,2,2,2,2,2,2,2,3,4,4,4,2,4,2,2,4,2,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
93,8,01:46:00,0,3,7,1,2,1,1,7,2,1,1,7,5,1,7,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,10,100,24,27,30,basic,0,0,0,0,1,0,0,0,0
95,8,01:56:00,0,2,2,5,2,3,2,3,3,3,3,4,5,4,4,3,4,3,3,2,3,2,3,3,2,2,2,1,4,4,2,3,1,10,100,24,27,31,basic,0,0,0,0,1,0,0,0,0
96,8,01:58:00,0,4,2,4,0,3,4,3,4,3,4,3,5,4,2,4,3,2,3,2,3,2,3,3,2,3,4,3,3,3,3,2,2,410,50,96,27,30,basic,0,1,0,1,1,0,0,0,0
97,8,01:58:00,0,5,3,4,0,3,5,5,2,5,6,6,5,4,6,3,2,4,1,3,1,1,1,1,2,1,1,4,4,4,1,1,3,5,5,47,27,30,basic,0,0,0,0,1,0,0,0,0
98,8,01:59:00,0,4,4,1,2,1,7,1,7,6,1,1,5,7,1,7,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,10,100,24,1827,30,basic,0,0,1,1,1,0,0,0,0
99,8,02:00:00,0,2,2,4,2,5,2,7,2,5,7,2,6,4,1,5,4,3,5,3,2,2,1,1,1,3,2,3,4,3,5,4,2,10,100,7,5,30,basic,1,0,1,1,1,0,0,0,0
100,8,02:03:00,0,3,0,4,0,5,2,6,5,5,2,6,5,2,6,3,1,1,1,2,1,2,2,1,4,4,2,1,4,4,2,4,4,10,100,24,27,30,basic,0,0,0,0,1,0,0,0,0
101,8,02:04:00,1,4,5,2,2,4,1,5,4,3,3,6,5,3,5,4,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,4,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
102,8,02:06:00,1,4,2,4,2,5,2,4,5,3,2,5,5,2,6,4,1,2,1,2,2,1,1,1,2,3,2,2,4,2,3,2,3,10,100,96,27,29,basic,0,0,0,0,1,0,0,0,0
104,8,02:14:00,0,4,4,5,0,4,4,4,5,4,4,4,5,3,4,5,3,3,1,3,3,3,3,1,4,3,3,3,4,1,3,3,3,10,500,2,27,30,basic,0,0,0,0,1,0,0,0,0
105,8,02:17:00,0,4,2,4,0,6,3,5,5,7,3,5,5,5,6,2,2,3,4,4,4,2,3,4,4,4,2,4,4,4,2,5,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
106,8,02:18:00,0,2,2,5,0,4,4,5,3,6,4,6,5,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,5,47,27,31,basic,0,0,0,0,1,0,0,0,0
107,8,02:23:00,0,6,3,4,0,3,2,2,3,3,6,5,5,5,4,6,2,3,1,3,2,2,3,1,3,3,3,3,4,1,4,4,3,10,5,24,27,29,basic,0,0,0,0,1,0,0,0,0
108,8,02:23:00,0,4,2,4,0,2,4,4,3,3,4,3,5,4,4,3,3,2,3,4,3,3,3,3,3,3,3,3,4,2,2,2,1,20,1,2,2,2,basic,0,0,1,1,1,0,0,0,0
110,8,02:24:00,0,5,2,4,0,3,2,5,5,3,4,6,5,2,6,3,1,4,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
111,8,02:28:00,1,4,3,4,0,3,2,4,6,2,5,4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,10,100,24,27,30,basic,0,1,0,1,1,0,0,0,0
112,8,02:33:00,0,2,3,4,2,6,2,4,4,5,4,4,5,4,5,2,2,2,2,2,2,2,3,1,3,2,3,2,4,2,2,1,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
113,8,02:36:00,0,2,2,4,0,3,3,5,4,4,3,4,3,1,4,3,2,2,4,2,4,4,4,2,3,4,4,3,4,4,3,3,3,5,100,24,27,29,basic,1,0,0,1,1,0,0,0,0
114,8,02:50:00,0,4,2,4,0,2,3,4,6,6,6,5,5,2,3,3,2,2,2,2,3,3,2,2,4,2,2,3,4,2,2,4,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
115,8,02:50:00,0,4,2,4,0,4,3,5,4,5,4,5,5,3,5,4,2,4,3,3,3,2,4,3,4,2,3,3,4,3,2,4,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
116,8,02:54:00,0,4,3,4,2,4,4,4,5,4,4,4,5,3,4,6,4,3,4,3,4,3,2,4,4,5,4,3,4,3,3,4,3,10,5,47,27,30,basic,0,0,0,0,1,0,0,0,0
117,8,02:55:00,0,5,2,2,2,2,2,6,6,2,6,6,5,2,6,3,1,2,1,2,3,2,2,2,3,4,2,2,4,2,2,4,2,205,5,60,4,29,basic,0,0,1,1,1,0,0,0,0
118,8,02:56:00,0,3,2,4,2,5,4,6,4,5,4,6,5,3,5,4,3,3,4,4,3,3,4,4,4,4,3,3,4,3,3,3,3,5,100,47,27,31,basic,0,0,0,0,1,0,0,0,0
119,8,02:57:00,1,2,4,1,2,2,2,2,6,2,6,4,5,6,5,6,2,3,2,4,4,3,3,3,4,4,5,4,4,3,4,4,4,5,5,12,27,30,basic,0,0,0,0,1,0,0,0,0
120,8,03:00:00,0,6,7,5,2,3,3,4,3,5,4,4,5,3,5,4,3,3,2,3,3,2,2,2,4,2,3,2,4,2,2,3,3,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
121,8,03:10:00,0,4,6,4,0,4,5,4,5,3,3,4,5,5,4,4,2,3,4,3,3,4,2,4,3,4,3,2,3,3,4,3,4,10,5,47,27,29,basic,0,1,0,1,1,0,0,0,0
122,8,03:11:00,1,5,4,3,2,4,1,5,4,5,5,5,5,2,6,4,4,4,4,4,4,4,3,3,3,3,2,3,4,3,3,3,3,10,20,24,27,30,basic,0,0,0,0,1,0,0,0,0
123,8,03:12:00,0,3,3,1,2,5,2,6,2,4,3,5,5,2,6,5,2,2,1,2,4,2,2,1,5,4,2,4,4,2,4,5,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
124,8,03:15:00,0,2,1,5,1,2,5,1,4,4,5,1,5,5,5,4,3,2,1,3,3,3,2,1,3,3,3,3,4,1,2,3,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
125,8,03:17:00,1,6,2,3,0,5,2,4,2,3,2,5,5,5,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,1,2,27,30,basic,0,1,0,1,1,0,0,0,0
126,8,03:17:00,0,2,7,1,0,1,6,1,6,3,6,4,5,6,3,6,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,4,3,10,5,5,27,29,basic,0,0,0,0,1,0,0,0,0
127,8,03:17:00,0,5,4,4,2,2,1,6,1,2,6,6,5,1,6,6,1,1,2,1,1,1,2,2,2,5,1,1,4,1,1,1,1,10,100,24,27,30,basic,0,0,0,0,1,0,0,0,0
128,8,03:18:00,0,3,2,4,0,2,2,5,7,6,6,5,5,2,4,5,1,3,3,4,3,2,3,3,5,4,3,4,4,3,4,3,3,205,5,47,27,15,basic,0,0,0,0,1,0,0,0,0
130,8,03:24:00,0,3,3,4,0,1,7,1,7,6,7,4,5,7,1,4,5,5,2,4,5,5,5,3,5,5,5,5,4,4,5,5,5,10,5,24,25,30,basic,0,0,1,1,1,0,0,0,0
131,8,03:25:00,0,2,3,4,0,2,5,4,6,6,6,4,5,5,3,4,3,3,2,3,3,3,3,2,4,4,4,3,4,2,2,4,3,5,5,46,27,29,basic,0,0,0,0,1,0,0,0,0
132,8,03:29:00,0,4,2,2,0,3,3,3,5,3,6,5,5,5,3,6,2,3,2,4,4,2,2,2,4,4,2,2,4,2,2,4,3,205,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
133,8,03:30:00,1,1,7,4,2,3,1,5,5,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,25,47,27,29,basic,0,0,0,0,1,0,0,0,0
134,8,03:32:00,1,3,8,3,2,2,4,3,5,3,4,4,5,5,4,6,3,2,3,3,2,3,1,2,3,3,3,2,4,3,3,4,2,5,5,47,27,31,basic,0,0,0,0,1,0,0,0,0
135,8,03:33:00,0,4,3,4,0,2,2,5,5,5,6,5,5,4,4,3,2,3,3,3,2,4,3,4,4,4,3,3,4,4,3,4,4,10,5,47,27,31,basic,0,0,0,0,1,0,0,0,0
136,8,03:36:00,0,3,5,1,2,2,5,3,5,4,4,2,5,5,2,5,1,2,2,3,3,2,3,3,4,5,3,4,4,4,3,3,3,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
